country,code,year,month,date,gasoline_price_usd_liter
Argentina,ARG,2020,12,2020-12-03,0.8247672044915659
Argentina,ARG,2021,1,2021-01-03,0.8564951459765766
Argentina,ARG,2021,2,2021-02-03,0.888211136331494
Argentina,ARG,2021,3,2021-03-03,0.9113349972690636
Argentina,ARG,2021,4,2021-04-03,0.9473518412177351
Argentina,ARG,2021,5,2021-05-03,0.9894275252898151
Argentina,ARG,2021,6,2021-06-03,1.0130160844734635
Argentina,ARG,2021,7,2021-07-03,1.2200266015680978
Argentina,ARG,2021,8,2021-08-03,1.0028770972797891
Argentina,ARG,2021,9,2021-09-03,0.9422189806452348
Argentina,ARG,2021,10,2021-10-03,0.9848974882257232
Argentina,ARG,2021,11,2021-11-03,0.9755973905704932
Argentina,ARG,2021,12,2021-12-03,0.9644899271639222
Argentina,ARG,2022,1,2022-01-03,0.9499885750383856
Argentina,ARG,2022,2,2022-02-03,1.1082426493054738
Argentina,ARG,2022,3,2022-03-03,1.0804318799334303
Argentina,ARG,2022,4,2022-04-03,1.1259027457688673
Argentina,ARG,2022,5,2022-05-03,1.1013965200688163
Argentina,ARG,2022,6,2022-06-03,1.1081852229318083
Argentina,ARG,2022,7,2022-07-03,1.0340633076896477
Argentina,ARG,2022,8,2022-08-03,1.0384956648360177
Argentina,ARG,2022,9,2022-09-03,1.02296180731189
Argentina,ARG,2022,10,2022-10-03,1.0311530548862338
Argentina,ARG,2022,11,2022-11-03,1.0696223577060295
Argentina,ARG,2022,12,2022-12-03,1.042276990071713
Argentina,ARG,2023,1,2023-01-03,1.0294299173367794
Argentina,ARG,2023,2,2023-02-03,0.9652719140336649
Argentina,ARG,2023,3,2023-03-01,0.9614553176375282
Argentina,ARG,2023,4,2023-04-01,0.9615490066602099
Argentina,ARG,2023,5,2023-05-01,0.9254586095334038
Argentina,ARG,2023,6,2023-06-01,0.9944777375215402
Argentina,ARG,2023,7,2023-07-01,0.9063436334700056
Argentina,ARG,2023,8,2023-08-01,0.9033287833445438
Argentina,ARG,2023,9,2023-09-01,0.7859171601352436
Argentina,ARG,2023,10,2023-10-01,0.9321204320607425
Argentina,ARG,2023,11,2023-11-01,1.0352409249760324
Argentina,ARG,2023,12,2023-12-01,0.9691781803031131
Argentina,ARG,2024,1,2024-01-01,0.9951469085738877
Argentina,ARG,2024,2,2024-02-01,1.040104513900744
Argentina,ARG,2024,3,2024-03-03,1.1137773561692244
Argentina,ARG,2024,4,2024-04-03,1.1384298567036004
Argentina,ARG,2024,5,2024-05-04,1.197614091450511
Argentina,ARG,2024,6,2024-06-04,1.1523578431329171
Argentina,ARG,2024,7,2024-07-05,1.1948033778787517
Argentina,ARG,2024,8,2024-08-05,1.1954438113261554
Argentina,ARG,2024,9,2024-09-05,1.2705289143970098
Argentina,ARG,2024,10,2024-10-06,1.142294044286875
Argentina,ARG,2024,11,2024-11-06,1.2331411308220792
Argentina,ARG,2024,12,2024-12-07,1.1621742696832396
Azerbaijan,AZE,2015,12,2015-12-01,0.5616215136341645
Azerbaijan,AZE,2016,1,2016-01-01,0.44174656494715764
Azerbaijan,AZE,2016,2,2016-02-01,0.4417067042243567
Azerbaijan,AZE,2016,3,2016-03-01,0.4331053343109139
Azerbaijan,AZE,2016,4,2016-04-01,0.4605969204489898
Azerbaijan,AZE,2016,5,2016-05-01,0.4669356215846994
Azerbaijan,AZE,2016,6,2016-06-01,0.459729048833733
Azerbaijan,AZE,2016,7,2016-07-01,0.5715926094345806
Azerbaijan,AZE,2016,8,2016-08-01,0.5498738650450683
Azerbaijan,AZE,2016,9,2016-09-01,0.5441354292623942
Azerbaijan,AZE,2016,10,2016-10-01,0.5555881363413286
Azerbaijan,AZE,2016,11,2016-11-01,0.5209291987761637
Azerbaijan,AZE,2016,12,2016-12-01,0.5014500263261265
Azerbaijan,AZE,2017,1,2017-01-03,0.540241801425482
Azerbaijan,AZE,2017,2,2017-02-03,0.5495109352676119
Azerbaijan,AZE,2017,3,2017-03-03,0.5744973722490193
Azerbaijan,AZE,2017,4,2017-04-03,0.5907110684486451
