country,year,EV_Share_Pct,total_charging_stations,GDP_per_capita,Policy_Score,log_gdp,infra_score,lagged_share,Survival_Prob,EV_Share_Pct_2023,Policy_Score_2023,market_room,purchasing_power,infra_saturation,iso_alpha
Israel,2024,21.0,0.0,54176.6844383302,0.0,10.900024376415152,0.0,17.0,0.14291943173150265,17.0,0.0,0.79,5.41766844383302,0.0,ISR
Italy,2024,7.9,0.0,40226.0472416173,0.0,10.602294865322913,0.0,9.2,0.0469996111152424,9.2,0.0,0.9209999999999999,4.02260472416173,0.0,ITA
Japan,2024,2.8,0.0,32475.8924992191,0.0,10.388284115413411,0.0,3.5,0.0023143342226534074,3.5,0.0,0.972,3.24758924992191,0.0,JPN
Mexico,2024,2.2,0.0,14157.9445835849,3.235294117647059,9.558101829412271,0.0,1.5,0.4261639928698752,1.5,3.235294117647059,0.978,1.41579445835849,0.0,MEX
Netherlands,2024,48.0,0.0,68218.7261019406,0.0,11.130489041041397,0.0,44.0,0.09,44.0,0.0,0.52,6.82187261019406,0.0,NLD
New Zealand,2024,11.0,0.0,48747.0136853042,2.2058823529411766,10.79441973067906,0.0,27.0,0.22,27.0,1.7647058823529411,0.89,4.8747013685304195,0.0,NZL
Norway,2024,92.0,0.0,86809.7246897431,4.705882352941177,11.371485449349432,0.0,90.0,0.0,90.0,4.117647058823529,0.08,8.68097246897431,0.0,NOR
Poland,2024,5.7,0.0,25022.6716445953,2.2058823529411766,10.127577521639514,0.0,6.4,0.18665580618212196,6.4,2.2058823529411766,0.943,2.50226716445953,0.0,POL
Portugal,2024,33.0,0.0,28844.4979246799,0.0,10.269709208621387,0.0,32.0,0.04,32.0,0.0,0.67,2.88444979246799,0.0,PRT
Rest of World,2024,3.8,0.0,48747.0136853042,0.0,10.79441973067906,0.0,2.7,0.342268115942029,2.7,0.0,0.9620000000000001,4.8747013685304195,0.0,RES
South Korea,2024,9.2,0.0,33121.3712885508,0.4411764705882353,10.407964202812796,0.0,8.7,0.0456819208225555,8.7,0.4411764705882353,0.9079999999999999,3.31213712885508,0.0,SOU
Spain,2024,11.0,0.0,35297.0094995565,0.0,10.471581853216971,0.0,12.0,0.08051401822964278,12.0,0.0,0.89,3.52970094995565,0.0,ESP
Sweden,2024,58.0,0.0,57723.2345031532,0.0,10.963432373037378,0.0,60.0,0.06,60.0,0.0,0.42,5.77232345031532,0.0,SWE
Switzerland,2024,28.0,0.0,103669.872008144,0.0,11.548976467665442,0.0,30.0,0.08,30.0,0.0,0.72,10.3669872008144,0.0,CHE
Turkey,2024,11.0,0.0,48747.0136853042,0.0,10.79441973067906,0.0,7.2,0.18444327731092436,7.2,0.0,0.89,4.8747013685304195,0.0,TUR
UK,2024,28.0,0.0,52636.7865943853,0.0,10.871189517136155,0.0,24.0,0.25,24.0,0.0,0.72,5.26367865943853,0.0,UK
USA,2024,10.0,0.0,85809.9003846356,6.911764705882353,11.359901321516606,0.0,9.5,0.32,9.5,5.735294117647058,0.9,8.580990038463561,0.0,USA
World,2024,22.0,0.0,43451.2562442158,0.0,10.679418056715113,0.0,18.0,0.060503157115066514,18.0,0.0,0.78,4.345125624421581,0.0,WOR
